2024-10-15 10:45:48,918 INFO    StreamThr :52688 [internal.py:wandb_internal():86] W&B internal server running at pid: 52688, started at: 2024-10-15 10:45:48.918236
2024-10-15 10:45:48,918 DEBUG   HandlerThread:52688 [handler.py:handle_request():146] handle_request: status
2024-10-15 10:45:48,933 INFO    WriterThread:52688 [datastore.py:open_for_write():85] open: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\run-ijnx13tx.wandb
2024-10-15 10:45:48,933 DEBUG   SenderThread:52688 [sender.py:send():380] send: header
2024-10-15 10:45:48,965 DEBUG   SenderThread:52688 [sender.py:send():380] send: run
2024-10-15 10:45:49,468 INFO    SenderThread:52688 [dir_watcher.py:__init__():211] watching files in: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files
2024-10-15 10:45:49,468 INFO    SenderThread:52688 [sender.py:_start_run_threads():1124] run started: ijnx13tx with start time 1729007148.918236
2024-10-15 10:45:49,475 DEBUG   HandlerThread:52688 [handler.py:handle_request():146] handle_request: check_version
2024-10-15 10:45:49,475 DEBUG   SenderThread:52688 [sender.py:send_request():407] send_request: check_version
2024-10-15 10:45:49,686 DEBUG   HandlerThread:52688 [handler.py:handle_request():146] handle_request: run_start
2024-10-15 10:45:49,704 DEBUG   HandlerThread:52688 [system_info.py:__init__():32] System info init
2024-10-15 10:45:49,704 DEBUG   HandlerThread:52688 [system_info.py:__init__():47] System info init done
2024-10-15 10:45:49,704 INFO    HandlerThread:52688 [system_monitor.py:start():194] Starting system monitor
2024-10-15 10:45:49,704 INFO    SystemMonitor:52688 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-15 10:45:49,704 INFO    HandlerThread:52688 [system_monitor.py:probe():214] Collecting system info
2024-10-15 10:45:49,704 INFO    SystemMonitor:52688 [interfaces.py:start():190] Started cpu monitoring
2024-10-15 10:45:49,704 INFO    SystemMonitor:52688 [interfaces.py:start():190] Started disk monitoring
2024-10-15 10:45:49,704 INFO    SystemMonitor:52688 [interfaces.py:start():190] Started gpu monitoring
2024-10-15 10:45:49,718 INFO    SystemMonitor:52688 [interfaces.py:start():190] Started memory monitoring
2024-10-15 10:45:49,718 INFO    SystemMonitor:52688 [interfaces.py:start():190] Started network monitoring
2024-10-15 10:45:49,734 DEBUG   HandlerThread:52688 [system_info.py:probe():196] Probing system
2024-10-15 10:45:49,734 DEBUG   HandlerThread:52688 [system_info.py:_probe_git():181] Probing git
2024-10-15 10:45:49,814 DEBUG   HandlerThread:52688 [system_info.py:_probe_git():189] Probing git done
2024-10-15 10:45:49,814 DEBUG   HandlerThread:52688 [system_info.py:probe():244] Probing system done
2024-10-15 10:45:49,814 DEBUG   HandlerThread:52688 [system_monitor.py:probe():223] {'os': 'Windows-10-10.0.22631-SP0', 'python': '3.10.15', 'heartbeatAt': '2024-10-15T15:45:49.734612', 'startedAt': '2024-10-15T15:45:48.904729', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'c:\\Users\\Estudiantes\\Documents\\copy\\Mamitas-Unal\\code\\trains.py', 'codePathLocal': 'code\\trains.py', 'codePath': 'code\\trains.py', 'git': {'remote': 'https://github.com/Hufrinconlo/intersedes.git', 'commit': '30f5235c79879dad53b9bb6404649a2f99847f34'}, 'email': 'hufrinconlo@unal.edu.co', 'root': 'C:/Users/Estudiantes/Documents/copy/Mamitas-Unal', 'host': 'DESKTOP-5G1CH00', 'username': 'Estudiantes', 'executable': 'C:\\Users\\Estudiantes\\miniconda3\\envs\\mamitasHugo\\python.exe', 'cpu_count': 16, 'cpu_count_logical': 24, 'cpu_freq': {'current': 3200.0, 'min': 0.0, 'max': 3200.0}, 'cpu_freq_per_core': [{'current': 3200.0, 'min': 0.0, 'max': 3200.0}], 'disk': {'/': {'total': 951.1415977478027, 'used': 232.3168067932129}}, 'gpu': 'NVIDIA RTX A2000 12GB', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA RTX A2000 12GB', 'memory_total': 12878610432}], 'memory': {'total': 63.69602584838867}}
2024-10-15 10:45:49,814 INFO    HandlerThread:52688 [system_monitor.py:probe():224] Finished collecting system info
2024-10-15 10:45:49,814 INFO    HandlerThread:52688 [system_monitor.py:probe():227] Publishing system info
2024-10-15 10:45:49,814 DEBUG   HandlerThread:52688 [system_info.py:_save_pip():52] Saving list of pip packages installed into the current environment
2024-10-15 10:45:49,815 DEBUG   HandlerThread:52688 [system_info.py:_save_pip():68] Saving pip packages done
2024-10-15 10:45:49,815 DEBUG   HandlerThread:52688 [system_info.py:_save_conda():75] Saving list of conda packages installed into the current environment
2024-10-15 10:45:50,480 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\requirements.txt
2024-10-15 10:45:50,480 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\conda-environment.yaml
2024-10-15 10:45:50,907 DEBUG   HandlerThread:52688 [system_info.py:_save_conda():87] Saving conda packages done
2024-10-15 10:45:50,907 INFO    HandlerThread:52688 [system_monitor.py:probe():229] Finished publishing system info
2024-10-15 10:45:50,907 DEBUG   SenderThread:52688 [sender.py:send():380] send: files
2024-10-15 10:45:50,907 INFO    SenderThread:52688 [sender.py:_save_file():1380] saving file wandb-metadata.json with policy now
2024-10-15 10:45:50,930 DEBUG   HandlerThread:52688 [handler.py:handle_request():146] handle_request: stop_status
2024-10-15 10:45:50,931 DEBUG   SenderThread:52688 [sender.py:send_request():407] send_request: stop_status
2024-10-15 10:45:50,932 DEBUG   HandlerThread:52688 [handler.py:handle_request():146] handle_request: internal_messages
2024-10-15 10:45:51,494 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\conda-environment.yaml
2024-10-15 10:45:51,494 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\wandb-metadata.json
2024-10-15 10:45:52,107 INFO    wandb-upload_0:52688 [upload_job.py:push():131] Uploaded file C:\Users\ESTUDI~1\AppData\Local\Temp\tmp6dyt6h1xwandb\zo8ni9ya-wandb-metadata.json
2024-10-15 10:45:52,196 DEBUG   SenderThread:52688 [sender.py:send():380] send: telemetry
2024-10-15 10:45:54,214 DEBUG   HandlerThread:52688 [handler.py:handle_request():146] handle_request: status_report
2024-10-15 10:45:57,148 DEBUG   SenderThread:52688 [sender.py:send():380] send: telemetry
2024-10-15 10:45:57,148 DEBUG   SenderThread:52688 [sender.py:send():380] send: telemetry
2024-10-15 10:45:57,149 DEBUG   SenderThread:52688 [sender.py:send():380] send: files
2024-10-15 10:45:57,149 INFO    SenderThread:52688 [sender.py:_save_file():1380] saving file model-best.h5 with policy live
2024-10-15 10:45:57,149 DEBUG   HandlerThread:52688 [handler.py:handle_request():146] handle_request: get_summary
2024-10-15 10:45:57,149 DEBUG   SenderThread:52688 [sender.py:send():380] send: telemetry
2024-10-15 10:45:57,526 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\output.log
2024-10-15 10:45:59,024 DEBUG   SenderThread:52688 [sender.py:send():380] send: files
2024-10-15 10:45:59,024 INFO    SenderThread:52688 [sender.py:_save_file():1380] saving file media\graph\graph_summary_44e9abbd920009572113.graph.json with policy now
2024-10-15 10:45:59,024 DEBUG   SenderThread:52688 [sender.py:send_request():407] send_request: summary_record
2024-10-15 10:45:59,024 INFO    SenderThread:52688 [sender.py:_save_file():1380] saving file wandb-summary.json with policy end
2024-10-15 10:45:59,259 DEBUG   HandlerThread:52688 [handler.py:handle_request():146] handle_request: status_report
2024-10-15 10:45:59,420 INFO    wandb-upload_0:52688 [upload_job.py:push():131] Uploaded file C:\Users\ESTUDI~1\AppData\Local\Temp\tmp6dyt6h1xwandb\h5o6jd9c-media/graph/graph_summary_44e9abbd920009572113.graph.json
2024-10-15 10:45:59,552 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\output.log
2024-10-15 10:45:59,553 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\wandb-summary.json
2024-10-15 10:45:59,553 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\media\graph\graph_summary_44e9abbd920009572113.graph.json
2024-10-15 10:45:59,553 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\media\graph
2024-10-15 10:45:59,553 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\media
2024-10-15 10:46:00,023 INFO    wandb-upload_0:52688 [upload_job.py:push():131] Uploaded file C:\Users\ESTUDI~1\AppData\Local\Temp\tmp6dyt6h1xwandb\no9lsctw-media/graph/graph_summary_44e9abbd920009572113.graph.json
2024-10-15 10:46:00,713 DEBUG   HandlerThread:52688 [handler.py:handle_request():146] handle_request: partial_history
2024-10-15 10:46:00,713 DEBUG   HandlerThread:52688 [handler.py:handle_request():146] handle_request: partial_history
2024-10-15 10:46:00,713 DEBUG   SenderThread:52688 [sender.py:send():380] send: history
2024-10-15 10:46:00,713 DEBUG   SenderThread:52688 [sender.py:send_request():407] send_request: summary_record
2024-10-15 10:46:00,713 INFO    SenderThread:52688 [sender.py:_save_file():1380] saving file wandb-summary.json with policy end
2024-10-15 10:46:00,713 DEBUG   SenderThread:52688 [sender.py:send_request():407] send_request: summary_record
2024-10-15 10:46:00,713 INFO    SenderThread:52688 [sender.py:_save_file():1380] saving file wandb-summary.json with policy end
2024-10-15 10:46:00,713 DEBUG   SenderThread:52688 [sender.py:send_request():407] send_request: summary_record
2024-10-15 10:46:00,713 INFO    SenderThread:52688 [sender.py:_save_file():1380] saving file wandb-summary.json with policy end
2024-10-15 10:46:01,575 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\wandb-summary.json
2024-10-15 10:46:01,575 INFO    Thread-16 :52688 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\Estudiantes\Documents\copy\Mamitas-Unal\wandb\run-20241015_104548-ijnx13tx\files\output.log
